|html_url|pdf_url
111|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00468-x|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00468-x.pdf
147|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00471-2|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00471-2.pdf
186|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01246-8|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01246-8.pdf
187|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-019-0077-6|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-019-0077-6.pdf
188|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00855-8|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00855-8.pdf
230|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01273-5|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01273-5.pdf
233|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-024-00206-w|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-024-00206-w.pdf
234|https://bmcchem.biomedcentral.com/articles/10.1186/s13065-024-01233-z|https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-024-01233-z.pdf
281|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-020-00039-z|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-020-00039-z.pdf
283|https://bmcchem.biomedcentral.com/articles/10.1186/s13065-024-01239-7|https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-024-01239-7.pdf
399|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01243-x|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01243-x.pdf
400|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00480-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00480-1.pdf
465|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-022-00062-2|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-022-00062-2.pdf
467|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-023-00390-4|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-023-00390-4.pdf
611|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-023-00399-9|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-023-00399-9.pdf
615|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-024-00436-1|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-024-00436-1.pdf
693|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-024-00081-1|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-024-00081-1.pdf
695|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-022-00171-2|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-022-00171-2.pdf
696|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-019-0075-8|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-019-0075-8.pdf
780|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00456-1|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00456-1.pdf
